Category,Name,Birth date,Gender,Nationality,Link,Other name,Place of birth,Death date,Weak alias
crime.war,Ivan Čermak,1949-12-19,null,null,https://www.opensanctions.org/entities/Q1269985/,"Ivan Cermak · Иван Чермак · Чермак, Иван · ايڤان سيرماك · イヴァン・チェルマク · 1 more...",Zagreb,null,null
crime.war,Slobodan Praljak,1945-01-02,null,null,https://www.opensanctions.org/entities/Q1270169/,Praljak · Sllobodan Pralak · Slobodan Praljak · Slobodans Praļaks · Σλόμπονταν Πράλιακ · 14 more...,Čapljina,null,null
crime.war,Naser Orić,1967-03-03,null,null,https://www.opensanctions.org/entities/Q361189/,Naser Oric · Naser Orič · Orić · Насер Орич · Насер Орић · 7 more...,Potočari,null,null
crime.war,"BRDJANIN, Radoslav · Radoslav BRDJANIN · Radoslav Brðanin · Radoslav Brđanin",1948-02-09,null,null,https://www.opensanctions.org/entities/Q373375/,Brdjanin · Brđanin · Radoslav Brdanin · Radoslav Brdjanin · Радослав Брђанин · 2 more...,"Popovac, Bosnia-Herzegovina · Popovac, Municipality of Čelinac, Bosnia and Herzegovina · Čelinac",null,null
crime.war,"Enver HADZIHASANOVIC · Enver Hadžihasanović · HADZIHASANOVIC, Enver",1950-06-07 · 1950-07-07,null,null,https://www.opensanctions.org/entities/Q3822621/,"Enver Hadzihasanovic · Хаджихасанович, Энвер · Энвер Хаджихасанович · انور حاجی حسنووچ · انڤير هادزيهاسانوڤيك","Zvornik · Zvornik, Bosnia-Herzegovina",null,null
crime.war,Milan Babić,1956-02-26,null,null,https://www.opensanctions.org/entities/Q314295/,Babic · Milan Babic · Milan Babič · Μίλαν Μπάμπιτς · Бабич Милан · 9 more...,Kukar,null,null
crime.war,Ramush Haradinaj,1968-07-03,null,null,https://www.opensanctions.org/entities/Q316553/,Haradinaj · Haradinaj Ramush · Ramush Hajredinaj · Ramush Haradina · Ramush Haradinaj · 18 more...,Kosovo · Socialist Federal Republic of Yugoslavia,null,null
crime.war,"Mladen NALETILIC · Mladen Naletilić · NALETILIC, Mladen",1946-12-01,null,null,https://www.opensanctions.org/entities/Q3317424/,"Mladen Naletilic · Mladen Naletilić (""Tuta"") · Mladen Naletilić Tuta · Младен Налетилић · ملادين ناليتيليتش توتا · 1 more...","Listica, Bosnia-Herzegovina · Široki Brijeg",null,null
crime.war,"MILUTINOVIC, Milan · Milan MILUTINOVIC · Milan Milutinovic · Milan Milutinović · Milutinovic Milan · 1 more...",1942-12-19,null,null,https://www.opensanctions.org/entities/Q331773/,Milan Milutinovic · Milan Milutinovici · Milan Milutinoviç · Milutinovic · Milutinović · 14 more...,"Belgrade · Belgrade, Serbia and Montenegro",null,null
crime.war,Dražen Erdemović,1971-11-25,null,null,https://www.opensanctions.org/entities/Q3039203/,"Drazen Erdemovic · Drazen Erdemović · Дражен Ердемовић · Дражен Эрдемович · Эрдемович, Дражен · 2 more...",Tuzla,null,null
crime.war,"Ivica RAJIC · Ivica Rajić · RAJIC, Ivica",1958-05-05,null,null,https://www.opensanctions.org/entities/Q3099675/,Ivica Rajic · Ivica radjic · Ivicz radjic · Ивица Рајић · Рајић Ивица · 1 more...,"Johovac, Bosnia-Herzegovina",null,null
crime.war,Miroslav Deronjić,1954-06-06,null,null,https://www.opensanctions.org/entities/Q4582064/,ميروسلاف ديرونييتش,Bratunac,null,null
crime.war,Goran Gajić,1962,null,null,https://www.opensanctions.org/entities/Q4589287/,Goran Gajic · Горан Гайич · Горан Гајић · גוראן גאייץ' · غوران غاغيتش · 2 more...,Zagreb,null,null
crime.war,"KRSTIC, Radislav · Radislav KRSTIC · Radislav Krstić",1948-02-15,null,null,https://www.opensanctions.org/entities/Q715920/,"Krstic · Radislav Krstic · Radoslav Krstić · Крстич, Радислав · Крстич, Родислав · 6 more...","Nedjeljiste, Vlasenica, Bosnia-Herzegovina · Vlasenica · Vlasenica, Bosnia and Herzegovina",null,null
crime.war,"BANOVIC, Predrag · Predrag BANOVIC · Predrag Banović",1969-10-28,null,null,https://www.opensanctions.org/entities/Q7239704/,Предраг Банович · بريدراغ بانوفيتش,"Prijedor · Prijedor, Bosnia-Herzegovina",null,null
crime.war,"Blagoje SIMIC · Blagoje Simić · SIMIC, Blagoje",1960-07-01,null,null,https://www.opensanctions.org/entities/Q4923870/,بلاغوي سيميتش,Kruskovo Polje,null,null
crime.war,"DELIC, Hazim · Hazim DELIC · Hazim Delić",1964-05-13,male,null,https://www.opensanctions.org/entities/Q5688282/,null,Orahovica,null,null
crime.war,Rasim Delić,1949-02-04,null,null,https://www.opensanctions.org/entities/Q463856/,"Rasim Delic · Rasim Deliç · Rasim Delič · Делич, Расим · Расим Делич · 6 more...",Čelić,null,null
crime.war,"MILOSEVIC, Slobodan · Milosevic Slobodan · Slobodan MILOSEVIC · Slobodan Milosevic · Slobodan Milošević · 1 more...",1941-08-20,null,null,https://www.opensanctions.org/entities/Q47139/,Carnicero de los Balcanes · Kasapi i Ballkanit · Millosheviq · Milosevic · Milosevich · 101 more...,"Pozarevac · Pozarevac, Serbia and Montenegro · Požarevac",null,null
crime.war,Aleksovski,1960-01-08,null,null,https://www.opensanctions.org/entities/Q4716038/,Zlatko Aleksovski · زلاتكو ألكسوفسكي,Pakrac,null,null
crime.war,Dragan Nikolić,1957-04-26,null,null,https://www.opensanctions.org/entities/Q5304881/,Dragan Nikolic · Nikolić · Драган Николић (командант) · دراغان نيكوليتش · ドラガン・ニコリッチ,null,2018-06-04,null
crime.war,Duško Knežević,1959-05-30,null,null,https://www.opensanctions.org/entities/Q5317771/,Dusko Knezevic · Душко Кнежевић,Podgorica,null,null
crime.war,"Dusko SIKIRICA · Duško Sikirica · SIKIRICA, Dusko",1964-03-23,null,null,https://www.opensanctions.org/entities/Q5317778/,Dusko Sikirica · Sikirica · دوشكو سيكيريتشا,"Cirkin Pojle, Bosnia-Herzegovina",null,null
crime.war,Milorad Trbić,1958-02-22,null,null,https://www.opensanctions.org/entities/Q3499843/,Milorad Trbic · ميلوراد تربيتش,"Maglaj · Ponijevo, Zenica Municipality, Bosnia and Herzegovina",null,null
crime.war,"MARTIC, Milan · Milan MARTIC · Milan Martić",1954-11-18,null,null,https://www.opensanctions.org/entities/Q352249/,"Martic · Milan Martic · Mile Martić · Мартич Милан · Мартич, Милан · 10 more...","Knin, Croatia · Zagrovic, Croatia · Žagrović",null,null
crime.war,"Dragan OBRENOVIC · Dragan Obrenović · OBRENOVIC, Dragan",1963-04-12,null,null,https://www.opensanctions.org/entities/Q2311867/,Dragan Obrenovic · Драган Обреновић · دراغان أوبرينوفيتش,"Matino Brdo, Bosnia-Herzegovina · Rogatica",null,null
crime.war,Momir Talić,1942-07-15,null,null,https://www.opensanctions.org/entities/Q2342486/,"Момир Талич · Момир Талић · Талич · Талич, Момир",Piskavica,null,null
crime.war,"BOSKOVSKI, Ljube · Ljube BOSKOVSKI · Ljube Boškoski",1960-10-24,null,null,https://www.opensanctions.org/entities/Q2535415/,Ljube Boshkoski · Ljube Bosjkoski · Ljube Boskoski · Lube Boszkoski · Љубе Бошкоски · 8 more...,Čelopek,null,null
crime.war,"CORIC, Valentin · Valentin CORIC · Valentin Ćorić",1956-06-23,null,null,https://www.opensanctions.org/entities/Q2607698/,فالنتين تشوريتش · ヴァレンティン・チョリッチ,"Citluk, Bosnia-Herzegovina · Paoča · Paoča, Municipality of Čitluk, Bosnia and Herzegovina",null,null
crime.war,Bruno Stojić,1955-04-08,null,null,https://www.opensanctions.org/entities/Q2607707/,Бруно Стоїч · برونو ستوييتش · ブルノ・ストイッチ,"Hamzići, Municipality of Čitluk, Bosnia and Herzegovina · Hamzići, Čitluk",null,null
crime.war,"Franko SIMATOVIC · Franko Simatović · SIMATOVIC, Franko",1950-04-01 · 1951-04-01,null,null,https://www.opensanctions.org/entities/Q2617593/,"FRENKI · Franko Simatovic · Frenki Simatović · Симатович, Франко · Франко Симатович · 5 more...",null,null,FRENKI
crime.war,Zdravko Tolimir,1948-11-27,null,null,https://www.opensanctions.org/entities/Q26647/,Tolimir · Ζντράβκο Τόλιμιρ · Здравко Толимир · Толимир · Толимир Здравко · 2 more...,Glamoč,null,null
crime.war,"Biljana PLAVSIC · Biljana Plavšić · PLAVSIC, Biljana",1930-07-07,null,null,https://www.opensanctions.org/entities/Q26769/,Biljana · Biljana Plavsic · Biljana Plavsić · Biljana Plavszić · Biljana Plavšic · 21 more...,"Tuzla · Tuzla, Bosnia-Herzegovina",null,null
crime.war,Momčilo Krajišnik,1945-01-20,null,null,https://www.opensanctions.org/entities/Q26776/,Krajisnik · Momcilo Krajisnik · Momcilo Krajišnik · Momcilo krajisnik · Momčilo Krajisnik · 13 more...,Sarajevo,null,null
crime.war,Lahi Brahimaj,1970-01-26,null,null,https://www.opensanctions.org/entities/Q2682307/,Brahimaj Lahi,Jablanica,null,null
crime.war,"DJORDJEVIC, Vlastimir · Vlastimir DJORDJEVIC · Vlastimir Dordević · Vlastimir Đorđević",1948-11-17,null,null,https://www.opensanctions.org/entities/Q2745459/,"DORDEVIC, Vlastimir · Dordevic · Vlastimir DORDEVIC · Vlastimir Djordjevic · Vlastimir Dordevic · 7 more...","Koznica · Koznica, Vladicin Han municipality · Koznica, Vladičin Han Municipality, Serbia",null,null
crime.war,Željko Ražnatović,1952-04-17,null,null,https://www.opensanctions.org/entities/Q245198/,Arkan · Arkan kapitány · Arkani · Arkans Tigrar · Jelko Raznatoviç · 45 more...,Brežice,null,null
crime.war,"JOKIC, Miodrag · Miodrag JOKIC · Miodrag Jokić",1935-02-25,null,null,https://www.opensanctions.org/entities/Q1937798/,"Miodrag Jokic · Miodrag Jokič · Йокич, Миодраг · ميودراج چوكيك · 米奥德拉格·约基奇","Mionica, Serbia and Montenegro · Yugoslavia",null,null
crime.war,"GALIC, Stanislav · Stanislav GALIC · Stanislav Galić",1943-03-12,null,null,https://www.opensanctions.org/entities/Q1273114/,"Stanislav Galic · Галич, Станислав · Станислав Галич · Станислав Галић · استانیسلاو گالیچ · 6 more...","Banja Luka · Goles, Bosnia and Herzegovina · Goles, Bosnia-Herzegovina",null,null
crime.war,"SLJIVANCANIN, Veselin · Veselin SLJIVANCANIN · Veselin Sljivancanin · Veselin Šljivančanin",1953-06-13,null,null,https://www.opensanctions.org/entities/Q1274427/,Slijivancanin · Veselin Sljivancanin · Veselin sljivančanin · Veselin Šljivancanin · Веселин Шливанчанин · 5 more...,"Palež · Zabljak, Montenegro · Zabljak, Serbia and Montenegro · near Zabljak",null,null
crime.war,Milivoj Petković,1949-10-11,null,null,https://www.opensanctions.org/entities/Q1274770/,Milivoj Petkovic · Milivoj Petković · Petkovic · Миливой Петкович · Мілівой Петкович · 3 more...,"Šibenik · Šibenik, Croatia",null,null
crime.war,"Miroslav RADIC · Miroslav Radic · Miroslav Radić · RADIC, Miroslav",1961-01-01 · 1962-09-10,null,null,https://www.opensanctions.org/entities/Q12755560/,"Мирослав Радич · Мирослав Радић · Радич Мирослав · Радич, Мирослав","Zemun · Zemun, Serbia",null,null
crime.war,not available,not available,null,not available,https://www.opensanctions.org/entities/Q12758852/,null,null,null,null
crime.war,Mladen Markač,1955-05-08,null,null,https://www.opensanctions.org/entities/Q1277106/,"Mladen Markac · Маркач · Маркач, Младен · Младен Маркач · ملادن مارکاچ · 3 more...",Đurđevac,null,null
crime.war,"Dario KORDIC · Dario Kordić · KORDIC, Dario",1960-12-14,null,null,https://www.opensanctions.org/entities/Q1283467/,"Dario Kordic · Дарио Кордич · Даріо Кордич · Кордич · Кордич, Дарио · 3 more...","Sarajevo · Sarajevo, Bosnia-Herzegovina",null,null
crime.war,Momčilo Perišić,1944-05-22,null,null,https://www.opensanctions.org/entities/Q1284176/,Momcilo Perisic · Momčilo Perisić · Moncilo Perisic · Perišić · Момчило Перишич · 5 more...,Koštunići,null,null
crime.war,"Jovica STANISIC · Jovica Stanišić · STANISIC, Jovica",1950-07-30,null,null,https://www.opensanctions.org/entities/Q1284308/,"Jovica Stanisic · Јовица Станишић · Йовица Станишич · Станишич, Йовица · يوفيتسا ستانيشيتش · 1 more...","Ratkovo, Odžaci · Ratkovo, Serbia and Montenegro",null,null
crime.war,Sefer Halilović · Šefik Džaferović,1952-01-06,null,null,https://www.opensanctions.org/entities/Q1285208/,"Džaferović, Šefik · Halilovic · Sefer Halilovic · Sefer Halilović · Sefer Halilovć · 12 more...",Prijepolje,null,null
crime.war,Mirko Norac,1967-09-19,null,null,https://www.opensanctions.org/entities/Q1285805/,"Mirko Norac · Mirko Norać · Мирко Норац · Норац, Мирко · ميركو نوراك · 2 more...","Otok, Split-Dalmatia County",null,null
crime.war,"Fatmir LIMAJ · Fatmir Limaj · LIMAJ, Fatmir",1971-02-04,null,null,https://www.opensanctions.org/entities/Q1289469/,"Fatmir Ljimaj · Limaj Fatmir · Лимай, Фатмир · Фатмир Љимај · Фатмир Лимай · 3 more...","Banja, Serbia and Montenegro · Socialist Federal Republic of Yugoslavia",null,null
crime.war,JOHAN TARCHULOVSKI · Johan Tarčulovski,1974-11-17,null,null,https://www.opensanctions.org/entities/Q12904564/,Johan Tartsjulovski · Johan Tarçullovski · Johan Tarčulovski · Јохан Тарчуловски · يوهان تارولوفسكى,Skopje,null,null
crime.war,Dragoljub Ojdanic · Dragoljub Ojdanić · Ojdanic Dragoljub · オイダニッチ・ドラゴリュブ,1941-06-01,null,null,https://www.opensanctions.org/entities/Q1290539/,Dragoljub Ojdanic · Ojdanić Dragoljub · Ντραγκολιούμπ Οϊντάνιτς · Драголюб Ойданич · Драгољуб Ојданић · 8 more...,"Ravni · Ravni, Užice",null,null
crime.war,"LUKIC, Sreten · Sreten LUKIC · Sreten Lukić",1955-03-28,null,null,https://www.opensanctions.org/entities/Q12959975/,"Lukić Sreten · Лукич, Сретен · Сретен Лукић · スレタン・ルキッチ","Visegrad municipality, Bosnia and Herzegovina · Višegrad · Višegrad, Bosnia and Herzegovina",null,null
crime.war,"Amir KUBURA · Amir Kubura · KUBURA, Amir",1963-03-04 · 1964-03-04,null,null,https://www.opensanctions.org/entities/Q13081228/,امير كوبورا,"Kakanj · Kakanj, Bosnia-Herzegovina",null,null
crime.war,Esad Landžo,1973,male,null,https://www.opensanctions.org/entities/Q13081856/,null,Glavatičevo,null,null
crime.war,Pavle Strugar,1933-02-13,null,null,https://www.opensanctions.org/entities/Q1112186/,"Павле Стругар · Стругар, Павле · پاڤل ستروجار",Peja,null,null
crime.war,"BLAGOJEVIC, Vidoje · Vidoje BLAGOJEVIC · Vidoje Blagojević",1950-06-22,null,null,https://www.opensanctions.org/entities/Q119368/,"Blagojević · Благоевич, Видое · Видоје Благојевић · فيدوي بلاغوييفيتش · ヴィドイェ・ブラゴイェヴィッチ","Bratunac · Bratunac, Bosnia-Herzegovina",null,null
crime.war,Haradin Bala,1957-06-10,null,null,https://www.opensanctions.org/entities/Q1156175/,"Бала, Харадин · Харадин Бала · Харадин Баља · Харадін Бала · ハラディン・バラ",Drenas,null,null
